##############################################################################
#   INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN  #
#                                                                            #
# 'reportable' flag not set during run                                       #
# Unknown flags were used! See                                               #
#      http://www.spec.org/cpu2006/Docs/runspec.html#flagsurl                #
# for information about how to get rid of this error.                        #
#                                                                            #
#   INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN  #
##############################################################################
                           SPEC(R) CINT2006 Summary
                                       
                           Tue Jul  1 08:06:08 2025

CPU2006 License: 0                                       Test date: Jul-2025
Test sponsor:                                Hardware availability: Dec-9999
Tested by:                                   Software availability: Mar-2008

                                  Estimated                       Estimated
                Base     Base       Base        Peak     Peak       Peak
Benchmarks      Ref.   Run Time     Ratio       Ref.   Run Time     Ratio
-------------- ------  ---------  ---------    ------  ---------  ---------
400.perlbench    9770        515      19.0  S                                  
400.perlbench    9770        514      19.0  S                                  
400.perlbench    9770        519      18.8  S                                  
400.perlbench    9770        517      18.9  S                                  
400.perlbench    9770        517      18.9  S                                  
400.perlbench    9770        518      18.9  *                                  
400.perlbench    9770        522      18.7  S                                  
400.perlbench    9770        520      18.8  S                                  
400.perlbench    9770        513      19.0  S                                  
400.perlbench    9770        525      18.6  S                                  
401.bzip2        9650        748      12.9  S                                  
401.bzip2        9650        776      12.4  S                                  
401.bzip2        9650        776      12.4  S                                  
401.bzip2        9650        772      12.5  *                                  
401.bzip2        9650        761      12.7  S                                  
401.bzip2        9650        757      12.7  S                                  
401.bzip2        9650        788      12.2  S                                  
401.bzip2        9650        763      12.7  S                                  
401.bzip2        9650        788      12.2  S                                  
401.bzip2        9650        760      12.7  S                                  
403.gcc          8050        474      17.0  S                                  
403.gcc          8050        477      16.9  *                                  
403.gcc          8050        476      16.9  S                                  
403.gcc          8050        477      16.9  S                                  
403.gcc          8050        479      16.8  S                                  
403.gcc          8050        476      16.9  S                                  
403.gcc          8050        477      16.9  S                                  
403.gcc          8050        477      16.9  S                                  
403.gcc          8050        479      16.8  S                                  
403.gcc          8050        478      16.8  S                                  
429.mcf          9120        429      21.2  S                                  
429.mcf          9120        407      22.4  S                                  
429.mcf          9120        431      21.2  S                                  
429.mcf          9120        420      21.7  S                                  
429.mcf          9120        422      21.6  *                                  
429.mcf          9120        396      23.0  S                                  
429.mcf          9120        392      23.3  S                                  
429.mcf          9120        428      21.3  S                                  
429.mcf          9120        428      21.3  S                                  
429.mcf          9120        394      23.2  S                                  
445.gobmk       10490        488      21.5  *                                  
445.gobmk       10490        484      21.7  S                                  
445.gobmk       10490        490      21.4  S                                  
445.gobmk       10490        485      21.6  S                                  
445.gobmk       10490        490      21.4  S                                  
445.gobmk       10490        487      21.5  S                                  
445.gobmk       10490        491      21.3  S                                  
445.gobmk       10490        487      21.5  S                                  
445.gobmk       10490        488      21.5  S                                  
445.gobmk       10490        486      21.6  S                                  
456.hmmer        9330        273      34.2  S                                  
456.hmmer        9330        273      34.2  S                                  
456.hmmer        9330        272      34.3  S                                  
456.hmmer        9330        272      34.3  S                                  
456.hmmer        9330        273      34.2  S                                  
456.hmmer        9330        272      34.3  S                                  
456.hmmer        9330        272      34.3  S                                  
456.hmmer        9330        273      34.2  *                                  
456.hmmer        9330        272      34.3  S                                  
456.hmmer        9330        273      34.2  S                                  
458.sjeng       12100        618      19.6  S                                  
458.sjeng       12100        611      19.8  S                                  
458.sjeng       12100        635      19.1  S                                  
458.sjeng       12100        606      20.0  S                                  
458.sjeng       12100        608      19.9  S                                  
458.sjeng       12100        601      20.1  S                                  
458.sjeng       12100        610      19.8  *                                  
458.sjeng       12100        604      20.0  S                                  
458.sjeng       12100        609      19.9  S                                  
458.sjeng       12100        618      19.6  S                                  
462.libquantum  20720        272      76.1  S                                  
462.libquantum  20720        258      80.4  S                                  
462.libquantum  20720        274      75.6  S                                  
462.libquantum  20720        273      75.9  *                                  
462.libquantum  20720        271      76.5  S                                  
462.libquantum  20720        259      80.1  S                                  
462.libquantum  20720        274      75.5  S                                  
462.libquantum  20720        278      74.7  S                                  
462.libquantum  20720        274      75.7  S                                  
462.libquantum  20720        271      76.6  S                                  
464.h264ref     22130        507      43.6  S                                  
464.h264ref     22130        510      43.4  S                                  
464.h264ref     22130        508      43.6  S                                  
464.h264ref     22130        508      43.6  S                                  
464.h264ref     22130        508      43.6  *                                  
464.h264ref     22130        508      43.5  S                                  
464.h264ref     22130        511      43.3  S                                  
464.h264ref     22130        508      43.6  S                                  
464.h264ref     22130        508      43.5  S                                  
